Case Id;Title;Date;Priority;Planned duration (minutes);Test Areas;Average Duration;Tags;Objective;Test Data;Preconditions & Assumptions
new;Edit sourcetype;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Display sourcetypes;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Delete sourcetype;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Delete data input sourcetype;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Delete sourcetype after cim mapping;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;"Use add-on Builder to create a new TA";"Dummy result"
"";new;"add a sourcetype in step 3, upload some sample for it";"Dummy result"
"";new;"Do some CIM mapping for it";"Dummy result"
"";new;"Jump to step 3 again, delete the created sourcetype";"Dummy result"
new;Upload sample;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Data preview for uploaded sample;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Loading sourcetype list performance;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Default props conf settings consistency;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Sourcetype page navigation;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;List splunk sourcetype;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;"<p>Create a few sourcetype in Splunk by injecting some data</p>";"Dummy result"
"";new;"<p>Create addon with a few sourcetype added</p>";"Dummy result"
"";new;"<p>Create new addon.</p>";"Dummy result"
"";new;"<p>In 'Add Sample Data' page, click on 'Add From Splunk' button</p>";"<p>Dialogue box pop up to allow selecting sourcetype</p>"
"";new;"<p>Click on dropdown list</p>";"<p>All Splunk sourcetype displayed in list</p>"
"";new;"<p>Edit filter</p>";"<p>Only matched sourcetype is listed</p>"
"";new;"<p>Add a sourcetype from Splunnk</p>
<p>Create a sourcetype from File</p>";"Dummy result"
"";new;"<p>Click on Add from Splunk again</p>";"<p>The added sourcetypes are not listed</p>"
"";new;"<p>Deleted the added sourcetype and click on 'Add From Splunk'</p>";"<p>The deleted sourcetype is listed.</p>"
new;Add sourcetype from splunk;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;"<p>Create sourcetype in Splunk and index some data (or using existing TA and eventgen data)</p>";"Dummy result"
"";new;"<p>Create add-on with add-on builder</p>";"Dummy result"
"";new;"<p>In Add Sample Data page, click 'Add From Splunk' button.</p>";"<p>&nbsp;Should see the sourcetype in drop-down list</p>"
"";new;"<p>Select the sourcetype from list and click on save</p>";"<p>The sourcetype should be listed in sourcetype table</p>"
"";new;"<p>Check backend props.conf and transforms.conf</p>";"<p>The index time field extraction settings are copied into these two files.</p>"
"";new;"<p>Go to the field extraction page&nbsp;</p>";"<p>&nbsp;The sourcetype is added</p>"
"";new;"<p>Go to Map to CIM page. Add new eventtype</p>";"<p>The sourcetype is added.</p>"
